DATA E HORA UTC;CHUVA (mm);NIVEL (m);CHUVA CORRIGIDA;NIVEL CORRIGIDO;EXTRAVASAMENTO
21/10/2019 09:00;0;0,48;0,00; 0,48 ;NÃO
21/10/2019 09:15;0;0,47;0,00; 0,47 ;NÃO
21/10/2019 09:30;0;0,47;0,00; 0,47 ;NÃO
21/10/2019 09:45;0;0,47;0,00; 0,47 ;NÃO
21/10/2019 10:00;0;0,47;0,00; 0,47 ;NÃO
21/10/2019 10:15;0;0,48;0,00; 0,48 ;NÃO
21/10/2019 10:30;0;0,46;0,00; 0,46 ;NÃO
21/10/2019 10:45;0;0,49;0,00; 0,49 ;NÃO
21/10/2019 11:00;0;0,47;0,00; 0,47 ;NÃO
21/10/2019 11:15;0;0,49;0,00; 0,49 ;NÃO
21/10/2019 11:30;0;0,49;0,00; 0,49 ;NÃO
21/10/2019 11:45;0;0,48;0,00; 0,48 ;NÃO
21/10/2019 12:00;0;0,48;0,00; 0,48 ;NÃO
21/10/2019 12:15;0;0,49;0,00; 0,49 ;NÃO
21/10/2019 12:30;0;0,48;0,00; 0,48 ;NÃO
21/10/2019 12:45;0;0,48;0,00; 0,48 ;NÃO
21/10/2019 13:00;0;0,49;0,00; 0,49 ;NÃO
21/10/2019 13:15;0;0,50;0,00; 0,50 ;NÃO
21/10/2019 13:30;0;0,51;0,00; 0,51 ;NÃO
21/10/2019 13:45;0;0,50;0,00; 0,50 ;NÃO
21/10/2019 14:00;0;0,50;0,00; 0,50 ;NÃO
21/10/2019 14:15;0;0,50;0,00; 0,50 ;NÃO
21/10/2019 14:30;0;0,50;0,00; 0,50 ;NÃO
21/10/2019 14:45;0;0,49;0,00; 0,49 ;NÃO
21/10/2019 15:00;0;0,48;0,00; 0,48 ;NÃO
21/10/2019 15:15;0;0,50;0,00; 0,50 ;NÃO
21/10/2019 15:30;0;0,50;0,00; 0,50 ;NÃO
21/10/2019 15:45;0;0,49;0,00; 0,49 ;NÃO
21/10/2019 16:00;0;0,52;0,00; 0,52 ;NÃO
21/10/2019 16:15;0;0,52;0,00; 0,52 ;NÃO
21/10/2019 16:30;0;0,52;0,00; 0,52 ;NÃO
21/10/2019 16:45;0;0,52;0,00; 0,52 ;NÃO
21/10/2019 17:00;0;0,49;0,00; 0,49 ;NÃO
21/10/2019 17:15;0;0,51;0,00; 0,51 ;NÃO
21/10/2019 17:30;0;0,51;0,00; 0,51 ;NÃO
21/10/2019 17:45;0;0,51;0,00; 0,51 ;NÃO
21/10/2019 18:00;0;0,50;0,00; 0,50 ;NÃO
21/10/2019 18:15;0;0,51;0,00; 0,51 ;NÃO
21/10/2019 18:30;0;0,53;0,00; 0,53 ;NÃO
21/10/2019 18:45;0;0,51;0,00; 0,51 ;NÃO
21/10/2019 19:00;0;0,52;0,00; 0,52 ;NÃO
21/10/2019 19:15;0;0,52;0,00; 0,52 ;NÃO
21/10/2019 19:30;0;0,51;0,00; 0,51 ;NÃO
21/10/2019 19:45;;;0,00; 0,51 ;NÃO
21/10/2019 20:00;0,2;0,52;0,20; 0,52 ;NÃO
21/10/2019 20:15;0,6;0,52;0,60; 0,52 ;NÃO
21/10/2019 20:30;0;0,50;0,00; 0,50 ;NÃO
21/10/2019 20:45;0;0,51;0,00; 0,51 ;NÃO
21/10/2019 21:00;0;0,52;0,00; 0,52 ;NÃO
21/10/2019 21:15;0;0,50;0,00; 0,50 ;NÃO
21/10/2019 21:30;0,2;0,51;0,20; 0,51 ;NÃO
21/10/2019 21:45;0;0,52;0,00; 0,52 ;NÃO
21/10/2019 22:00;0;0,51;0,00; 0,51 ;NÃO
21/10/2019 22:15;0;0,51;0,00; 0,51 ;NÃO
21/10/2019 22:30;0;0,50;0,00; 0,50 ;NÃO
21/10/2019 22:45;0;0,52;0,00; 0,52 ;NÃO
21/10/2019 23:00;0;0,50;0,00; 0,50 ;NÃO
21/10/2019 23:15;0;0,50;0,00; 0,50 ;NÃO
21/10/2019 23:30;0;0,50;0,00; 0,50 ;NÃO
21/10/2019 23:45;0;0,50;0,00; 0,50 ;NÃO
22/10/2019 00:00;0;0,51;0,00; 0,51 ;NÃO
22/10/2019 00:15;0;0,53;0,00; 0,53 ;NÃO
22/10/2019 00:30;0;0,50;0,00; 0,50 ;NÃO
22/10/2019 00:45;0;0,51;0,00; 0,51 ;NÃO
22/10/2019 01:00;0;0,52;0,00; 0,52 ;NÃO
22/10/2019 01:15;0;0,52;0,00; 0,52 ;NÃO
22/10/2019 01:30;0;0,50;0,00; 0,50 ;NÃO
22/10/2019 01:45;0;0,52;0,00; 0,52 ;NÃO
22/10/2019 02:00;0;0,51;0,00; 0,51 ;NÃO
22/10/2019 02:15;0;0,51;0,00; 0,51 ;NÃO
22/10/2019 02:30;0;0,51;0,00; 0,51 ;NÃO
22/10/2019 02:45;0;0,52;0,00; 0,52 ;NÃO
22/10/2019 03:00;0;0,50;0,00; 0,50 ;NÃO
22/10/2019 03:15;0;0,51;0,00; 0,51 ;NÃO
22/10/2019 03:30;0;0,51;0,00; 0,51 ;NÃO
22/10/2019 03:45;0;0,51;0,00; 0,51 ;NÃO
22/10/2019 04:00;0;0,50;0,00; 0,50 ;NÃO
22/10/2019 04:15;0;0,51;0,00; 0,51 ;NÃO
22/10/2019 04:30;0;0,52;0,00; 0,52 ;NÃO
22/10/2019 04:45;0;0,51;0,00; 0,51 ;NÃO
22/10/2019 05:00;0;0,51;0,00; 0,51 ;NÃO
22/10/2019 05:15;0;0,52;0,00; 0,52 ;NÃO
22/10/2019 05:30;0;0,52;0,00; 0,52 ;NÃO
22/10/2019 05:45;0;0,51;0,00; 0,51 ;NÃO
22/10/2019 06:00;0,2;0,50;0,20; 0,50 ;NÃO
22/10/2019 06:15;0;0,52;0,00; 0,52 ;NÃO
22/10/2019 06:30;0,2;0,51;0,20; 0,51 ;NÃO
22/10/2019 06:45;0;0,51;0,00; 0,51 ;NÃO
22/10/2019 07:00;0;0,53;0,00; 0,53 ;NÃO
22/10/2019 07:15;0;0,51;0,00; 0,51 ;NÃO
22/10/2019 07:30;0;0,52;0,00; 0,52 ;NÃO
22/10/2019 07:45;0;0,52;0,00; 0,52 ;NÃO
22/10/2019 08:00;0;0,49;0,00; 0,49 ;NÃO
22/10/2019 08:15;0;0,48;0,00; 0,48 ;NÃO
22/10/2019 08:30;0;0,51;0,00; 0,51 ;NÃO
22/10/2019 08:45;0;0,49;0,00; 0,49 ;NÃO
22/10/2019 09:00;0;0,49;0,00; 0,49 ;NÃO
22/10/2019 09:15;0;0,51;0,00; 0,51 ;NÃO
22/10/2019 09:30;0;0,49;0,00; 0,49 ;NÃO
22/10/2019 09:45;0;0,49;0,00; 0,49 ;NÃO
22/10/2019 10:00;0;0,48;0,00; 0,48 ;NÃO
22/10/2019 10:15;0;0,50;0,00; 0,50 ;NÃO
22/10/2019 10:30;0;0,47;0,00; 0,47 ;NÃO
22/10/2019 10:45;0;0,49;0,00; 0,49 ;NÃO
22/10/2019 11:00;0;0,49;0,00; 0,49 ;NÃO
22/10/2019 11:15;0;0,49;0,00; 0,49 ;NÃO
22/10/2019 11:30;0;0,51;0,00; 0,51 ;NÃO
22/10/2019 11:45;0;0,52;0,00; 0,52 ;NÃO
22/10/2019 12:00;0;0,51;0,00; 0,51 ;NÃO
22/10/2019 12:15;0;0,49;0,00; 0,49 ;NÃO
22/10/2019 12:30;0;0,49;0,00; 0,49 ;NÃO
22/10/2019 12:45;0;0,50;0,00; 0,50 ;NÃO
22/10/2019 13:00;0;0,49;0,00; 0,49 ;NÃO
22/10/2019 13:15;0;0,50;0,00; 0,50 ;NÃO
22/10/2019 13:30;0;0,49;0,00; 0,49 ;NÃO
22/10/2019 13:45;0;0,49;0,00; 0,49 ;NÃO
22/10/2019 14:00;0;0,49;0,00; 0,49 ;NÃO
22/10/2019 14:15;0;0,50;0,00; 0,50 ;NÃO
22/10/2019 14:30;0;0,51;0,00; 0,51 ;NÃO
22/10/2019 14:45;0;0,49;0,00; 0,49 ;NÃO
22/10/2019 15:00;0;0,48;0,00; 0,48 ;NÃO
22/10/2019 15:15;0;0,49;0,00; 0,49 ;NÃO
22/10/2019 15:30;0;0,50;0,00; 0,50 ;NÃO
22/10/2019 15:45;0;0,51;0,00; 0,51 ;NÃO
22/10/2019 16:00;0;0,49;0,00; 0,49 ;NÃO
22/10/2019 16:15;0;0,51;0,00; 0,51 ;NÃO
22/10/2019 16:30;0;0,51;0,00; 0,51 ;NÃO
22/10/2019 16:45;0;0,51;0,00; 0,51 ;NÃO
22/10/2019 17:00;0;0,52;0,00; 0,52 ;NÃO
22/10/2019 17:15;0;0,50;0,00; 0,50 ;NÃO
22/10/2019 17:30;0;0,51;0,00; 0,51 ;NÃO
22/10/2019 17:45;0;0,50;0,00; 0,50 ;NÃO
22/10/2019 18:00;0;0,49;0,00; 0,49 ;NÃO
22/10/2019 18:15;0;0,51;0,00; 0,51 ;NÃO
22/10/2019 18:30;0;0,49;0,00; 0,49 ;NÃO
22/10/2019 18:45;0;0,50;0,00; 0,50 ;NÃO
22/10/2019 19:00;0;0,52;0,00; 0,52 ;NÃO
22/10/2019 19:15;0;0,49;0,00; 0,49 ;NÃO
22/10/2019 19:30;0;0,50;0,00; 0,50 ;NÃO
22/10/2019 19:45;0;0,49;0,00; 0,49 ;NÃO
22/10/2019 20:00;0;0,49;0,00; 0,49 ;NÃO
22/10/2019 20:15;0;0,50;0,00; 0,50 ;NÃO
22/10/2019 20:30;0;0,50;0,00; 0,50 ;NÃO
22/10/2019 20:45;0;0,51;0,00; 0,51 ;NÃO
22/10/2019 21:00;0;0,48;0,00; 0,48 ;NÃO
22/10/2019 21:15;0;0,49;0,00; 0,49 ;NÃO
22/10/2019 21:30;0;0,49;0,00; 0,49 ;NÃO
22/10/2019 21:45;0;0,49;0,00; 0,49 ;NÃO
22/10/2019 22:00;0;0,49;0,00; 0,49 ;NÃO
22/10/2019 22:15;0;0,50;0,00; 0,50 ;NÃO
22/10/2019 22:30;0;0,48;0,00; 0,48 ;NÃO
22/10/2019 22:45;0;0,49;0,00; 0,49 ;NÃO
22/10/2019 23:00;0;0,49;0,00; 0,49 ;NÃO
22/10/2019 23:15;0;0,48;0,00; 0,48 ;NÃO
22/10/2019 23:30;0;0,50;0,00; 0,50 ;NÃO
22/10/2019 23:45;0;0,49;0,00; 0,49 ;NÃO
23/10/2019 00:00;0;0,46;0,00; 0,46 ;NÃO
23/10/2019 00:15;0;0,49;0,00; 0,49 ;NÃO
23/10/2019 00:30;0;0,48;0,00; 0,48 ;NÃO
23/10/2019 00:45;0;0,46;0,00; 0,46 ;NÃO
23/10/2019 01:00;0;0,47;0,00; 0,47 ;NÃO
23/10/2019 01:15;0;0,47;0,00; 0,47 ;NÃO
23/10/2019 01:30;0;0,45;0,00; 0,45 ;NÃO
23/10/2019 01:45;0;0,48;0,00; 0,48 ;NÃO
23/10/2019 02:00;0;0,47;0,00; 0,47 ;NÃO
23/10/2019 02:15;0;0,47;0,00; 0,47 ;NÃO
23/10/2019 02:30;0;0,48;0,00; 0,48 ;NÃO
23/10/2019 02:45;0;0,47;0,00; 0,47 ;NÃO
23/10/2019 03:00;0;0,48;0,00; 0,48 ;NÃO
23/10/2019 03:15;0;0,48;0,00; 0,48 ;NÃO
23/10/2019 03:30;0;0,48;0,00; 0,48 ;NÃO
23/10/2019 03:45;0;0,46;0,00; 0,46 ;NÃO
23/10/2019 04:00;0;0,47;0,00; 0,47 ;NÃO
23/10/2019 04:15;0;0,47;0,00; 0,47 ;NÃO
23/10/2019 04:30;0;0,48;0,00; 0,48 ;NÃO
23/10/2019 04:45;0;0,48;0,00; 0,48 ;NÃO
23/10/2019 05:00;0;0,47;0,00; 0,47 ;NÃO
23/10/2019 05:15;0;0,47;0,00; 0,47 ;NÃO
23/10/2019 05:30;0,2;0,48;0,20; 0,48 ;NÃO
23/10/2019 05:45;0;0,48;0,00; 0,48 ;NÃO
23/10/2019 06:00;0;0,48;0,00; 0,48 ;NÃO
23/10/2019 06:15;0,2;0,48;0,20; 0,48 ;NÃO
23/10/2019 06:30;0;0,49;0,00; 0,49 ;NÃO
23/10/2019 06:45;0;0,49;0,00; 0,49 ;NÃO
23/10/2019 07:00;0;0,48;0,00; 0,48 ;NÃO
23/10/2019 07:15;0;0,47;0,00; 0,47 ;NÃO
23/10/2019 07:30;0;0,45;0,00; 0,45 ;NÃO
23/10/2019 07:45;0;0,48;0,00; 0,48 ;NÃO
23/10/2019 08:00;0;0,46;0,00; 0,46 ;NÃO
23/10/2019 08:15;0;0,47;0,00; 0,47 ;NÃO
23/10/2019 08:30;0;0,46;0,00; 0,46 ;NÃO
23/10/2019 08:45;0;0,46;0,00; 0,46 ;NÃO
23/10/2019 09:00;0;0,44;0,00; 0,44 ;NÃO
23/10/2019 09:15;0;0,46;0,00; 0,46 ;NÃO
23/10/2019 09:30;0;0,45;0,00; 0,45 ;NÃO
23/10/2019 09:45;0;0,45;0,00; 0,45 ;NÃO
23/10/2019 10:00;0;0,44;0,00; 0,44 ;NÃO
23/10/2019 10:15;0;0,45;0,00; 0,45 ;NÃO
23/10/2019 10:30;0;0,43;0,00; 0,43 ;NÃO
23/10/2019 10:45;0;0,45;0,00; 0,45 ;NÃO
23/10/2019 11:00;0;0,46;0,00; 0,46 ;NÃO
23/10/2019 11:15;0;0,45;0,00; 0,45 ;NÃO
23/10/2019 11:30;0;0,45;0,00; 0,45 ;NÃO
23/10/2019 11:45;0;0,45;0,00; 0,45 ;NÃO
23/10/2019 12:00;0;0,45;0,00; 0,45 ;NÃO
23/10/2019 12:15;0;0,45;0,00; 0,45 ;NÃO
23/10/2019 12:30;0;0,45;0,00; 0,45 ;NÃO
23/10/2019 12:45;0;0,46;0,00; 0,46 ;NÃO
23/10/2019 13:00;0;0,46;0,00; 0,46 ;NÃO
23/10/2019 13:15;0;0,47;0,00; 0,47 ;NÃO
23/10/2019 13:30;0;0,46;0,00; 0,46 ;NÃO
23/10/2019 13:45;0;0,44;0,00; 0,44 ;NÃO
23/10/2019 14:00;0;0,46;0,00; 0,46 ;NÃO
23/10/2019 14:15;0;0,46;0,00; 0,46 ;NÃO
23/10/2019 14:30;0;0,47;0,00; 0,47 ;NÃO
23/10/2019 14:45;0;0,47;0,00; 0,47 ;NÃO
23/10/2019 15:00;0;0,48;0,00; 0,48 ;NÃO
23/10/2019 15:15;0;0,47;0,00; 0,47 ;NÃO
23/10/2019 15:30;0,2;0,48;0,20; 0,48 ;NÃO
23/10/2019 15:45;0;0,46;0,00; 0,46 ;NÃO
23/10/2019 16:00;0;0,45;0,00; 0,45 ;NÃO
23/10/2019 16:15;0;0,47;0,00; 0,47 ;NÃO
23/10/2019 16:30;0;0,46;0,00; 0,46 ;NÃO
23/10/2019 16:45;0;0,47;0,00; 0,47 ;NÃO
23/10/2019 17:00;0;0,46;0,00; 0,46 ;NÃO
23/10/2019 17:15;0;0,47;0,00; 0,47 ;NÃO
23/10/2019 17:30;0;0,46;0,00; 0,46 ;NÃO
23/10/2019 17:45;0;0,48;0,00; 0,48 ;NÃO
23/10/2019 18:00;0;0,47;0,00; 0,47 ;NÃO
23/10/2019 18:15;0,2;0,47;0,20; 0,47 ;NÃO
23/10/2019 18:30;0;0,48;0,00; 0,48 ;NÃO
23/10/2019 18:45;0;0,48;0,00; 0,48 ;NÃO
23/10/2019 19:00;0;0,48;0,00; 0,48 ;NÃO
23/10/2019 19:15;0;0,48;0,00; 0,48 ;NÃO
23/10/2019 19:30;0;0,50;0,00; 0,50 ;NÃO
23/10/2019 19:45;0;0,49;0,00; 0,49 ;NÃO
23/10/2019 20:00;0;0,48;0,00; 0,48 ;NÃO
23/10/2019 20:15;0;0,48;0,00; 0,48 ;NÃO
23/10/2019 20:30;0;0,47;0,00; 0,47 ;NÃO
23/10/2019 20:45;0;0,47;0,00; 0,47 ;NÃO
23/10/2019 21:00;0;0,46;0,00; 0,46 ;NÃO
23/10/2019 21:15;0;0,46;0,00; 0,46 ;NÃO
23/10/2019 21:30;0;0,44;0,00; 0,44 ;NÃO
23/10/2019 21:45;0;0,46;0,00; 0,46 ;NÃO
23/10/2019 22:00;0,2;0,45;0,20; 0,45 ;NÃO
23/10/2019 22:15;0;0,46;0,00; 0,46 ;NÃO
23/10/2019 22:30;0;0,46;0,00; 0,46 ;NÃO
23/10/2019 22:45;0;0,45;0,00; 0,45 ;NÃO
23/10/2019 23:00;0;0,46;0,00; 0,46 ;NÃO
23/10/2019 23:15;0;0,48;0,00; 0,48 ;NÃO
23/10/2019 23:30;0;0,46;0,00; 0,46 ;NÃO
23/10/2019 23:45;0;0,46;0,00; 0,46 ;NÃO
24/10/2019 00:00;0;0,44;0,00; 0,44 ;NÃO
24/10/2019 00:15;0;0,44;0,00; 0,44 ;NÃO
24/10/2019 00:30;0;0,44;0,00; 0,44 ;NÃO
24/10/2019 00:45;0;0,45;0,00; 0,45 ;NÃO
24/10/2019 01:00;0;0,45;0,00; 0,45 ;NÃO
24/10/2019 01:15;0;0,45;0,00; 0,45 ;NÃO
24/10/2019 01:30;0;0,44;0,00; 0,44 ;NÃO
24/10/2019 01:45;0;0,45;0,00; 0,45 ;NÃO
24/10/2019 02:00;0;0,45;0,00; 0,45 ;NÃO
24/10/2019 02:15;0;0,44;0,00; 0,44 ;NÃO
24/10/2019 02:30;0;0,44;0,00; 0,44 ;NÃO
24/10/2019 02:45;0;0,47;0,00; 0,47 ;NÃO
24/10/2019 03:00;0;0,46;0,00; 0,46 ;NÃO
24/10/2019 03:15;0;0,46;0,00; 0,46 ;NÃO
24/10/2019 03:30;0;0,45;0,00; 0,45 ;NÃO
24/10/2019 03:45;0;0,46;0,00; 0,46 ;NÃO
24/10/2019 04:00;0;0,48;0,00; 0,48 ;NÃO
24/10/2019 04:15;0;0,45;0,00; 0,45 ;NÃO
24/10/2019 04:30;0;0,44;0,00; 0,44 ;NÃO
24/10/2019 04:45;0;0,46;0,00; 0,46 ;NÃO
24/10/2019 05:00;0;0,44;0,00; 0,44 ;NÃO
24/10/2019 05:15;0;0,45;0,00; 0,45 ;NÃO
24/10/2019 05:30;0;0,46;0,00; 0,46 ;NÃO
24/10/2019 05:45;0;0,46;0,00; 0,46 ;NÃO
24/10/2019 06:00;0;0,46;0,00; 0,46 ;NÃO
24/10/2019 06:15;0;0,45;0,00; 0,45 ;NÃO
24/10/2019 06:30;0;0,45;0,00; 0,45 ;NÃO
24/10/2019 06:45;0;0,45;0,00; 0,45 ;NÃO
24/10/2019 07:00;0;0,46;0,00; 0,46 ;NÃO
24/10/2019 07:15;0;0,46;0,00; 0,46 ;NÃO
24/10/2019 07:30;0;0,45;0,00; 0,45 ;NÃO
24/10/2019 07:45;0;0,46;0,00; 0,46 ;NÃO
24/10/2019 08:00;0;0,46;0,00; 0,46 ;NÃO
24/10/2019 08:15;0;0,46;0,00; 0,46 ;NÃO
24/10/2019 08:30;0;0,44;0,00; 0,44 ;NÃO
24/10/2019 08:45;0;0,43;0,00; 0,43 ;NÃO
24/10/2019 09:00;0;0,45;0,00; 0,45 ;NÃO
24/10/2019 09:15;0;0,44;0,00; 0,44 ;NÃO
24/10/2019 09:30;0;0,47;0,00; 0,47 ;NÃO
24/10/2019 09:45;0;0,46;0,00; 0,46 ;NÃO
24/10/2019 10:00;0;0,44;0,00; 0,44 ;NÃO
24/10/2019 10:15;0;0,45;0,00; 0,45 ;NÃO
24/10/2019 10:30;0;0,46;0,00; 0,46 ;NÃO
24/10/2019 10:45;0;0,44;0,00; 0,44 ;NÃO
24/10/2019 11:00;0;0,46;0,00; 0,46 ;NÃO
24/10/2019 11:15;0;0,45;0,00; 0,45 ;NÃO
24/10/2019 11:30;0;0,45;0,00; 0,45 ;NÃO
24/10/2019 11:45;0;0,44;0,00; 0,44 ;NÃO
24/10/2019 12:00;0;0,45;0,00; 0,45 ;NÃO
24/10/2019 12:15;0;0,45;0,00; 0,45 ;NÃO
24/10/2019 12:30;0;0,45;0,00; 0,45 ;NÃO
24/10/2019 12:45;0;0,46;0,00; 0,46 ;NÃO
24/10/2019 13:00;0;0,45;0,00; 0,45 ;NÃO
24/10/2019 13:15;0;0,46;0,00; 0,46 ;NÃO
24/10/2019 13:30;0;0,45;0,00; 0,45 ;NÃO
24/10/2019 13:45;0;0,45;0,00; 0,45 ;NÃO
24/10/2019 14:00;0;0,46;0,00; 0,46 ;NÃO
24/10/2019 14:15;0;0,47;0,00; 0,47 ;NÃO
24/10/2019 14:30;0;0,48;0,00; 0,48 ;NÃO
24/10/2019 14:45;0;0,47;0,00; 0,47 ;NÃO
24/10/2019 15:00;0;0,48;0,00; 0,48 ;NÃO
24/10/2019 15:15;0;0,49;0,00; 0,49 ;NÃO
24/10/2019 15:30;0;0,49;0,00; 0,49 ;NÃO
24/10/2019 15:45;0;0,47;0,00; 0,47 ;NÃO
24/10/2019 16:00;0;0,48;0,00; 0,48 ;NÃO
24/10/2019 16:15;0;0,48;0,00; 0,48 ;NÃO
24/10/2019 16:30;0;0,49;0,00; 0,49 ;NÃO
24/10/2019 16:45;0;0,49;0,00; 0,49 ;NÃO
24/10/2019 17:00;0;0,49;0,00; 0,49 ;NÃO
24/10/2019 17:15;0;0,49;0,00; 0,49 ;NÃO
24/10/2019 17:30;0;0,50;0,00; 0,50 ;NÃO
24/10/2019 17:45;0;0,49;0,00; 0,49 ;NÃO
24/10/2019 18:00;0;0,49;0,00; 0,49 ;NÃO
24/10/2019 18:15;0;0,50;0,00; 0,50 ;NÃO
24/10/2019 18:30;0;0,49;0,00; 0,49 ;NÃO
24/10/2019 18:45;0;0,50;0,00; 0,50 ;NÃO
24/10/2019 19:00;0;0,50;0,00; 0,50 ;NÃO
24/10/2019 19:15;0;0,50;0,00; 0,50 ;NÃO
24/10/2019 19:30;0;0,50;0,00; 0,50 ;NÃO
24/10/2019 19:45;0;0,49;0,00; 0,49 ;NÃO
24/10/2019 20:00;0;0,50;0,00; 0,50 ;NÃO
24/10/2019 20:15;0;0,51;0,00; 0,51 ;NÃO
24/10/2019 20:30;0;0,49;0,00; 0,49 ;NÃO
24/10/2019 20:45;0;0,49;0,00; 0,49 ;NÃO
24/10/2019 21:00;0;0,48;0,00; 0,48 ;NÃO
24/10/2019 21:15;0;0,48;0,00; 0,48 ;NÃO
24/10/2019 21:30;0;0,50;0,00; 0,50 ;NÃO
24/10/2019 21:45;0;0,48;0,00; 0,48 ;NÃO
24/10/2019 22:00;0;0,49;0,00; 0,49 ;NÃO
24/10/2019 22:15;0;0,47;0,00; 0,47 ;NÃO
24/10/2019 22:30;0;0,49;0,00; 0,49 ;NÃO
24/10/2019 22:45;0;0,47;0,00; 0,47 ;NÃO
24/10/2019 23:00;0;0,46;0,00; 0,46 ;NÃO
24/10/2019 23:15;0;0,49;0,00; 0,49 ;NÃO
24/10/2019 23:30;0;0,46;0,00; 0,46 ;NÃO
24/10/2019 23:45;0;0,46;0,00; 0,46 ;NÃO
25/10/2019 00:00;0;0,47;0,00; 0,47 ;NÃO
25/10/2019 00:15;0;0,46;0,00; 0,46 ;NÃO
25/10/2019 00:30;0;0,48;0,00; 0,48 ;NÃO
25/10/2019 00:45;0;0,48;0,00; 0,48 ;NÃO
25/10/2019 01:00;0;0,45;0,00; 0,45 ;NÃO
25/10/2019 01:15;0;0,47;0,00; 0,47 ;NÃO
25/10/2019 01:30;0;0,47;0,00; 0,47 ;NÃO
25/10/2019 01:45;0;0,48;0,00; 0,48 ;NÃO
25/10/2019 02:00;0;0,47;0,00; 0,47 ;NÃO
25/10/2019 02:15;0;0,47;0,00; 0,47 ;NÃO
25/10/2019 02:30;0;0,48;0,00; 0,48 ;NÃO
25/10/2019 02:45;0;0,48;0,00; 0,48 ;NÃO
25/10/2019 03:00;0;0,47;0,00; 0,47 ;NÃO
25/10/2019 03:15;0;0,47;0,00; 0,47 ;NÃO
25/10/2019 03:30;0;0,50;0,00; 0,50 ;NÃO
25/10/2019 03:45;0;0,48;0,00; 0,48 ;NÃO
25/10/2019 04:00;0;0,48;0,00; 0,48 ;NÃO
25/10/2019 04:15;0;0,48;0,00; 0,48 ;NÃO
25/10/2019 04:30;0;0,46;0,00; 0,46 ;NÃO
25/10/2019 04:45;0;0,47;0,00; 0,47 ;NÃO
25/10/2019 05:00;0;0,47;0,00; 0,47 ;NÃO
25/10/2019 05:15;0;0,46;0,00; 0,46 ;NÃO
25/10/2019 05:30;0;0,49;0,00; 0,49 ;NÃO
25/10/2019 05:45;0;0,49;0,00; 0,49 ;NÃO
25/10/2019 06:00;0;0,47;0,00; 0,47 ;NÃO
25/10/2019 06:15;0;0,47;0,00; 0,47 ;NÃO
25/10/2019 06:30;0;0,46;0,00; 0,46 ;NÃO
25/10/2019 06:45;0;0,48;0,00; 0,48 ;NÃO
25/10/2019 07:00;0;0,48;0,00; 0,48 ;NÃO
25/10/2019 07:15;0;0,45;0,00; 0,45 ;NÃO
25/10/2019 07:30;0;0,46;0,00; 0,46 ;NÃO
25/10/2019 07:45;0;0,47;0,00; 0,47 ;NÃO
25/10/2019 08:00;0;0,47;0,00; 0,47 ;NÃO
25/10/2019 08:15;0;0,47;0,00; 0,47 ;NÃO
25/10/2019 08:30;0;0,47;0,00; 0,47 ;NÃO
25/10/2019 08:45;0;0,45;0,00; 0,45 ;NÃO
25/10/2019 09:00;0;0,46;0,00; 0,46 ;NÃO
25/10/2019 09:15;0;0,46;0,00; 0,46 ;NÃO
25/10/2019 09:30;0;0,45;0,00; 0,45 ;NÃO
25/10/2019 09:45;0;0,46;0,00; 0,46 ;NÃO
25/10/2019 10:00;0;0,43;0,00; 0,43 ;NÃO
25/10/2019 10:15;0;0,44;0,00; 0,44 ;NÃO
25/10/2019 10:30;0;0,45;0,00; 0,45 ;NÃO
25/10/2019 10:45;0;0,45;0,00; 0,45 ;NÃO
25/10/2019 11:00;0;0,45;0,00; 0,45 ;NÃO
25/10/2019 11:15;0;0,45;0,00; 0,45 ;NÃO
25/10/2019 11:30;0;0,44;0,00; 0,44 ;NÃO
25/10/2019 11:45;0;0,45;0,00; 0,45 ;NÃO
25/10/2019 12:00;0;0,46;0,00; 0,46 ;NÃO
25/10/2019 12:15;0;0,45;0,00; 0,45 ;NÃO
25/10/2019 12:30;0;0,47;0,00; 0,47 ;NÃO
25/10/2019 12:45;0;0,46;0,00; 0,46 ;NÃO
25/10/2019 13:00;0;0,47;0,00; 0,47 ;NÃO
25/10/2019 13:15;0;0,47;0,00; 0,47 ;NÃO
25/10/2019 13:30;0;0,47;0,00; 0,47 ;NÃO
25/10/2019 13:45;0;0,46;0,00; 0,46 ;NÃO
25/10/2019 14:00;0;0,47;0,00; 0,47 ;NÃO
25/10/2019 14:15;0;0,49;0,00; 0,49 ;NÃO
25/10/2019 14:30;0;0,49;0,00; 0,49 ;NÃO
25/10/2019 14:45;0;0,46;0,00; 0,46 ;NÃO
25/10/2019 15:00;0;0,47;0,00; 0,47 ;NÃO
25/10/2019 15:15;0;0,49;0,00; 0,49 ;NÃO
25/10/2019 15:30;0;0,48;0,00; 0,48 ;NÃO
25/10/2019 15:45;0;0,48;0,00; 0,48 ;NÃO
25/10/2019 16:00;0;0,48;0,00; 0,48 ;NÃO
25/10/2019 16:15;0;0,48;0,00; 0,48 ;NÃO
25/10/2019 16:30;0;0,47;0,00; 0,47 ;NÃO
25/10/2019 16:45;0;0,48;0,00; 0,48 ;NÃO
25/10/2019 17:00;0;0,47;0,00; 0,47 ;NÃO
25/10/2019 17:15;0;0,48;0,00; 0,48 ;NÃO
25/10/2019 17:30;0;0,47;0,00; 0,47 ;NÃO
25/10/2019 17:45;0;0,49;0,00; 0,49 ;NÃO
25/10/2019 18:00;0;0,50;0,00; 0,50 ;NÃO
